abbreviation,last_updated,naloxone_legal_status,gs_exists,gs_scope,pharmacy_mechanism,medicaid_notes,typical_cost,how_to_get_quickly,barriers
MA,UNKNOWN,UNKNOWN,TRUE,Protects from possession/parole violations.,Statewide standing order.,MassHealth: $0 copay.,OTC ~$45,Pharmacy (MassHealth covers) or CNP site.,Copays for private insurance; use CNP.
MD,UNKNOWN,UNKNOWN,TRUE,Protects caller/victim from possession charges.,Statewide standing order.,Covered.,OTC ~$45,Pharmacy or NEXT Distro.,Urban/Rural divide; mail order available.
ME,UNKNOWN,UNKNOWN,TRUE,Broadest: protects from ALL non-violent drug crimes.,Standing order.,Covered.,OTC ~$45,Maine Access Points or Pharmacy.,Rural geography; use MAP tiered network.
MI,UNKNOWN,UNKNOWN,TRUE,Limited to personal use amounts.,Standing order.,Covered.,OTC ~$45,Pharmacy or NEXT Distro.,Rural access; mail order is key.
MN,UNKNOWN,UNKNOWN,TRUE,Steve's Law: Immunity for possession/sharing.,Protocol.,Covered.,OTC ~$45,Naloxone Finder Tool or Pharmacy.,Rural north; use mail order.
MO,UNKNOWN,UNKNOWN,TRUE,Possession/paraphernalia immunity.,Statewide standing order.,Covered.,OTC ~$45,NEXT Distro or Pharmacy.,Rural stigma; mail order recommended.
MS,UNKNOWN,UNKNOWN,TRUE,Narrow: very small amounts only.,Standing order (voluntary participation).,Covered.,OTC ~$45,NEXT Distro or MS Harm Reduction.,Pharmacy refusal common; mail order reliable.
MT,UNKNOWN,UNKNOWN,TRUE,Protects against possession charges.,Statewide standing order.,Covered.,OTC ~$45,Open Aid Alliance (mail or in-person).,Geography; mail order essential.
NC,UNKNOWN,UNKNOWN,TRUE,Protects caller/victim from possession charges.,Statewide standing order.,Covered.,OTC ~$45,NCHRC or Pharmacy.,Rural access; NCHRC has wide reach.
ND,UNKNOWN,UNKNOWN,TRUE,Protects up to 3 people/incident.,Pharmacist authority.,Covered.,OTC ~$45,Call ND HHS for mail or Pharmacy.,Rural sparse population; mail order key.
NE,UNKNOWN,UNKNOWN,TRUE,Evidentiary suppression rule.,Standing order.,Covered.,OTC ~$45,StopODNE.com pharmacy locator.,Rural awareness; use StopODNE map.
NH,UNKNOWN,UNKNOWN,TRUE,Protects from possession arrest/prosecution.,Standing order.,Covered.,OTC ~$45,Call 2-1-1 or visit Doorway hub.,Travel to hubs; mail order backup.
NJ,UNKNOWN,UNKNOWN,TRUE,Immunity for use/simple possession.,Standing order / Naloxone365.,Covered.,Free (Naloxone365),Naloxone365 Pharmacy (Free) or NJHRC.,Excellent access via Naloxone365.
NM,UNKNOWN,UNKNOWN,TRUE,Protects caller and victim from possession charges.,Standing order.,Covered (no copay).,OTC ~$45,Pharmacy or CORE virtual program.,Rural access; CORE program ships statewide.
NV,UNKNOWN,UNKNOWN,TRUE,Immunity for possession/use.,Standing order.,Covered.,OTC ~$45,Trac-B vending machines (Vegas) or Pharmacy.,Rural isolation; mail order needed.
NY,UNKNOWN,UNKNOWN,TRUE,Protects helper/victim from possession charges.,Statewide standing order.,Covered.,OTC ~$45,Pharmacy or Registered OEND Program.,Cost; use OEND or Medicaid.
OH,UNKNOWN,UNKNOWN,TRUE,"Protects seeker, helper, victim.",Standing order.,Covered.,OTC ~$45,Project DAWN site or Pharmacy.,Project DAWN is very widespread.
OK,2026-06-10,UNKNOWN,TRUE,Protects helper only (not victim).,Pharmacist authority.,Covered.,OTC ~$45,"State vending machines were REMOVED end of 2024. Order free Narcan + fentanyl test strips by mail at https://okimready.org, or https://nextdistro.org/oklahoma",Victim not protected by Good Samaritan law; mail order is now the main free channel.
OR,UNKNOWN,UNKNOWN,TRUE,Protects caller and victim.,Pharmacist prescribing.,Covered (OHP free).,OTC ~$45,Pharmacy (OHP free) or County Health.,Cost if uninsured; use county health.
PA,2026-03-28,LEGAL — Naloxone is legal in Pennsylvania and available statewide under a Department of Health naloxone standing order that serves as a prescription for the general public and community organizations.,TRUE,"Limited immunity from charge and prosecution for personal-use drug possession, paraphernalia, and some probation/parole violations when someone in good faith reports an overdose, reasonably believes an overdose is occurring, stays with the victim, and cooperates with responders; the victim’s immunity is contingent on the caller qualifying.","Statewide standing order and OTC — many pharmacies can dispense prescription naloxone under the statewide standing order or sell FDA-approved OTC naloxone, and the standing order can be used to obtain insurance coverage for OTC products.","Covered — Pennsylvania Medical Assistance fee‑for‑service and managed care plans will pay for naloxone for beneficiaries when billed under the standing order, with no prior authorization and no limit on the number of times naloxone can be purchased through Medical Assistance.","~$40–50 USD cash price per two‑dose box of naloxone nasal spray at retail pharmacies (e.g., GoodRx shows around 44 USD discounted price versus a list price in the high 60s for a box of two 4 mg sprays).",Walk into a participating pharmacy and use the statewide standing order or buy OTC; request a free kit via the statewide Mail‑to‑Home Naloxone Program operated with Prevention Point Pittsburgh and NEXT Distro; or obtain no‑cost naloxone from local Overdose Prevention Program and other community partners.,"Immunity rules are conditional and can be confusing (contingent on caller behavior and covering only some offenses), not all pharmacies stock or actively promote naloxone, and people may face stigma or uncertainty about when they are legally protected."
RI,UNKNOWN,UNKNOWN,TRUE,Comprehensive protection.,Collaborative practice.,Fully covered.,OTC ~$45,Pharmacy or URI Mail Program.,Excellent access state.
SC,UNKNOWN,UNKNOWN,TRUE,First caller only protected.,Joint Protocol.,Covered.,OTC ~$45,Community Distributor or Pharmacy.,First caller limit; community dist. advised.
SD,2026-06-10,UNKNOWN,TRUE,"SDCL 34-20A-111 protects the caller from possession/use charges if they stay and cooperate — but only ONCE per person, ever.",Statewide standing order.,Covered.,OTC ~$45,Pharmacy or NEXT Distro.,Immunity is one-time-only per person; mail order preferred.
TN,UNKNOWN,UNKNOWN,TRUE,Civil immunity; basic training req.,Standing order.,TennCare covers.,OTC ~$45,Pharmacy or Regional Health Office.,Rural access; use NEXT Distro.
TX,2026-06-10,UNKNOWN,TRUE,Limited to administration liability.,Standing order.,Covered.,OTC ~$45,More Narcan Please shut down Feb 2026. Free mail order + 10 regional hubs now at Naloxone Texas: https://naloxonetexas.com — or pharmacy standing order.,Weak immunity; cost barriers.
UT,2026-03-28,"Legal — Naloxone and other opioid antagonists may be prescribed, dispensed, possessed, and administered under state law and a statewide standing order.",TRUE,"Limited — Affirmative defense for certain possession/paraphernalia charges when someone reports an overdose, stays, and cooperates; not blanket immunity from arrest or all charges.","Statewide standing order plus OTC — Pharmacists can dispense under the standing order, and Narcan and similar products are also sold OTC.",Covered — All forms of opioid antagonists under the standing order are covered by Medicaid without prior authorization for Medicaid patients of record.,OTC ~$45 (varies $35-50),"Pharmacy (standing order or OTC) or free kits from sites listed on Stop the Opidemic and UtahNaloxone.org (health departments, libraries, community partners)",Rural pharmacy access; out‑of‑pocket cost for uninsured people; variable pharmacy stocking; confusion about legal protections and OTC vs prescription routes.
VA,2026-06-10,UNKNOWN,TRUE,"EXPANDED: HB 2117 (eff. July 1, 2025) — good-faith callers and helpers cannot be arrested or prosecuted for personal-use possession. Excludes distribution amounts, felon-in-possession, outstanding warrants.",Statewide standing order.,Covered.,OTC ~$45,"REVIVE! free training + naloxone via local health depts and CSBs: https://dbhds.virginia.gov/behavioral-health/substance-abuse-services/revive/ — or pharmacy, or https://nextdistro.org/virginia",Rural SW VA has dedicated programs.
VT,UNKNOWN,UNKNOWN,TRUE,Strong protections.,Statewide standing order.,Covered.,OTC ~$45,Pharmacy or Health Dept.,Strong laws aid access.
WA,UNKNOWN,UNKNOWN,TRUE,Protects from possession charges.,Standing order.,Covered.,OTC ~$45,Pharmacy or State Mail Program.,State mail program is robust.
WI,UNKNOWN,UNKNOWN,TRUE,Broad emergency immunity.,Standing order.,Covered.,OTC ~$45,Participating Pharmacy.,Check enrolled pharmacy list.
WV,UNKNOWN,UNKNOWN,TRUE,Immunity with treatment requirements.,Standing order.,Covered.,OTC ~$45,Harm Reduction Program or Pharmacy.,Pharmacy barriers; use community sites.
WY,2026-06-10,UNKNOWN,TRUE,"NEW: SF0074 (2025) — last state to adopt immunity. Good-faith callers who stay are protected, up to 2 incidents per 12 months (2nd requires agreeing to treatment).",Pharmacist authority.,Covered.,OTC ~$45,NEW (May 2026): WDH Community Naloxone Resource Map — free Narcan at 30 sites in 22 of 23 counties: https://health.wyo.gov/publichealth/prevention/substanceabuseandsuicide/opioid-information-wyoming/opioid-overdose-response/ — or pharmacy.,Rural; new law improves safety.
